lation_id,platform_id/fk,payment_gateway_id/fk
platform_coin_ecpay_staging_payment_gateway,platform_coin,base.ecpay_staging_payment_gateway
platform_coin_ecpay_payment_gateway,platform_coin,base.ecpay_payment_gateway
